,Ua,Cm,Ca,Hm,air_temp,mass_temp,OD_temp,HVAC_power,hour,date,hvac_average_power
57,0.9,0.9,0.9,1.0,-4,-4,3,15000,3,"(2021, 6, 21)",0.0
58,0.9,0.9,0.9,1.0,-4,-4,3,15000,3,"(2021, 9, 21)",613.3333333333334
59,0.9,0.9,0.9,1.0,-4,-4,3,15000,3,"(2021, 12, 21)",0.0
60,0.9,0.9,0.9,1.0,-4,-4,3,15000,6,"(2021, 3, 21)",0.0
61,0.9,0.9,0.9,1.0,-4,-4,3,15000,6,"(2021, 6, 21)",0.0
62,0.9,0.9,0.9,1.0,-4,-4,3,15000,6,"(2021, 9, 21)",546.6666666666666
63,0.9,0.9,0.9,1.0,-4,-4,3,15000,6,"(2021, 12, 21)",520.0
64,0.9,0.9,0.9,1.0,-4,-4,3,20000,3,"(2021, 3, 21)",515.5555555555555
65,0.9,0.9,0.9,1.0,-4,-4,3,20000,3,"(2021, 6, 21)",0.0
66,0.9,0.9,0.9,1.0,-4,-4,3,20000,3,"(2021, 9, 21)",0.0
67,0.9,0.9,0.9,1.0,-4,-4,3,20000,3,"(2021, 12, 21)",640.0
68,0.9,0.9,0.9,1.0,-4,-4,3,20000,6,"(2021, 3, 21)",622.2222222222222
69,0.9,0.9,0.9,1.0,-4,-4,3,20000,6,"(2021, 6, 21)",586.6666666666666
70,0.9,0.9,0.9,1.0,-4,-4,3,20000,6,"(2021, 9, 21)",480.0
71,0.9,0.9,0.9,1.0,-4,-4,3,20000,6,"(2021, 12, 21)",0.0
72,0.9,0.9,0.9,1.0,-4,-4,5,10000,3,"(2021, 3, 21)",0.0
73,0.9,0.9,0.9,1.0,-4,-4,5,10000,3,"(2021, 6, 21)",0.0
74,0.9,0.9,0.9,1.0,-4,-4,5,10000,3,"(2021, 9, 21)",604.4444444444445
75,0.9,0.9,0.9,1.0,-4,-4,5,10000,3,"(2021, 12, 21)",328.8888888888889
76,0.9,0.9,0.9,1.0,-4,-4,5,10000,6,"(2021, 3, 21)",551.1111111111111
77,0.9,0.9,0.9,1.0,-4,-4,5,10000,6,"(2021, 6, 21)",648.8888888888889
78,0.9,0.9,0.9,1.0,-4,-4,5,10000,6,"(2021, 9, 21)",604.4444444444445
79,0.9,0.9,0.9,1.0,-4,-4,5,10000,6,"(2021, 12, 21)",0.0
80,0.9,0.9,0.9,1.0,-4,-4,5,15000,3,"(2021, 3, 21)",640.0
81,0.9,0.9,0.9,1.0,-4,-4,5,15000,3,"(2021, 6, 21)",520.0
82,0.9,0.9,0.9,1.0,-4,-4,5,15000,3,"(2021, 9, 21)",0.0
83,0.9,0.9,0.9,1.0,-4,-4,5,15000,3,"(2021, 12, 21)",0.0
84,0.9,0.9,0.9,1.0,-4,-4,5,15000,6,"(2021, 3, 21)",0.0
85,0.9,0.9,0.9,1.0,-4,-4,5,15000,6,"(2021, 6, 21)",0.0
86,0.9,0.9,0.9,1.0,-4,-4,5,15000,6,"(2021, 9, 21)",533.3333333333334
87,0.9,0.9,0.9,1.0,-4,-4,5,15000,6,"(2021, 12, 21)",520.0
88,0.9,0.9,0.9,1.0,-4,-4,5,20000,3,"(2021, 3, 21)",0.0
89,0.9,0.9,0.9,1.0,-4,-4,5,20000,3,"(2021, 6, 21)",462.22222222222223
90,0.9,0.9,0.9,1.0,-4,-4,5,20000,3,"(2021, 9, 21)",0.0
91,0.9,0.9,0.9,1.0,-4,-4,5,20000,3,"(2021, 12, 21)",657.7777777777778
92,0.9,0.9,0.9,1.0,-4,-4,5,20000,6,"(2021, 3, 21)",0.0
93,0.9,0.9,0.9,1.0,-4,-4,5,20000,6,"(2021, 6, 21)",0.0
94,0.9,0.9,0.9,1.0,-4,-4,5,20000,6,"(2021, 9, 21)",515.5555555555555
95,0.9,0.9,0.9,1.0,-4,-4,5,20000,6,"(2021, 12, 21)",0.0
96,0.9,0.9,0.9,1.1,-4,-4,3,10000,3,"(2021, 3, 21)",0.0
97,0.9,0.9,0.9,1.1,-4,-4,3,10000,3,"(2021, 6, 21)",71.11111111111111
98,0.9,0.9,0.9,1.1,-4,-4,3,10000,3,"(2021, 9, 21)",0.0
99,0.9,0.9,0.9,1.1,-4,-4,3,10000,3,"(2021, 12, 21)",0.0
100,0.9,0.9,0.9,1.1,-4,-4,3,10000,6,"(2021, 3, 21)",0.0
101,0.9,0.9,0.9,1.1,-4,-4,3,10000,6,"(2021, 6, 21)",0.0
102,0.9,0.9,0.9,1.1,-4,-4,3,10000,6,"(2021, 9, 21)",0.0
103,0.9,0.9,0.9,1.1,-4,-4,3,10000,6,"(2021, 12, 21)",0.0
104,0.9,0.9,0.9,1.1,-4,-4,3,15000,3,"(2021, 3, 21)",133.33333333333334
105,0.9,0.9,0.9,1.1,-4,-4,3,15000,3,"(2021, 6, 21)",0.0
106,0.9,0.9,0.9,1.1,-4,-4,3,15000,3,"(2021, 9, 21)",666.6666666666666
107,0.9,0.9,0.9,1.1,-4,-4,3,15000,3,"(2021, 12, 21)",0.0
108,0.9,0.9,0.9,1.1,-4,-4,3,15000,6,"(2021, 3, 21)",600.0
109,0.9,0.9,0.9,1.1,-4,-4,3,15000,6,"(2021, 6, 21)",0.0
110,0.9,0.9,0.9,1.1,-4,-4,3,15000,6,"(2021, 9, 21)",266.6666666666667
111,0.9,0.9,0.9,1.1,-4,-4,3,15000,6,"(2021, 12, 21)",666.6666666666666
112,0.9,0.9,0.9,1.1,-4,-4,3,20000,3,"(2021, 3, 21)",657.7777777777778
113,0.9,0.9,0.9,1.1,-4,-4,3,20000,3,"(2021, 6, 21)",0.0
114,0.9,0.9,0.9,1.1,-4,-4,3,20000,3,"(2021, 9, 21)",657.7777777777778
115,0.9,0.9,0.9,1.1,-4,-4,3,20000,3,"(2021, 12, 21)",0.0
116,0.9,0.9,0.9,1.1,-4,-4,3,20000,6,"(2021, 3, 21)",586.6666666666666
