,Ua,Cm,Ca,Hm,air_temp,mass_temp,OD_temp,HVAC_power,hour,date,hvac_average_power
1530978,1,1,1,1,0,0,7,20000,57600.0,0,746.6666666666666
1530979,1,1,1,1,0,0,7,20000,57600.0,79,0.0
1530980,1,1,1,1,0,0,7,20000,57600.0,171,746.6666666666666
1530981,1,1,1,1,0,0,7,20000,57600.0,263,0.0
1530982,1,1,1,1,0,0,7,20000,57600.0,354,0.0
1530983,1,1,1,1,0,0,7,20000,57600.0,364,0.0
1530984,1,1,1,1,0,0,7,20000,61200.0,0,0.0
1530985,1,1,1,1,0,0,7,20000,61200.0,79,0.0
1530986,1,1,1,1,0,0,7,20000,61200.0,171,0.0
1530987,1,1,1,1,0,0,7,20000,61200.0,263,0.0
1530988,1,1,1,1,0,0,7,20000,61200.0,354,746.6666666666666
1530989,1,1,1,1,0,0,7,20000,61200.0,364,746.6666666666666
1530990,1,1,1,1,0,0,7,20000,63000.0,0,0.0
1530991,1,1,1,1,0,0,7,20000,63000.0,79,0.0
1530992,1,1,1,1,0,0,7,20000,63000.0,171,0.0
1530993,1,1,1,1,0,0,7,20000,63000.0,263,0.0
1530994,1,1,1,1,0,0,7,20000,63000.0,354,0.0
1530995,1,1,1,1,0,0,7,20000,63000.0,364,728.8888888888889
1530996,1,1,1,1,0,0,7,20000,75600.0,0,0.0
1530997,1,1,1,1,0,0,7,20000,75600.0,79,746.6666666666666
1530998,1,1,1,1,0,0,7,20000,75600.0,171,0.0
1530999,1,1,1,1,0,0,7,20000,75600.0,263,0.0
1531000,1,1,1,1,0,0,7,20000,75600.0,354,0.0
1531001,1,1,1,1,0,0,7,20000,75600.0,364,746.6666666666666
1531002,1,1,1,1,0,0,7,20000,86399.0,0,0.0
1531003,1,1,1,1,0,0,7,20000,86399.0,79,0.0
1531004,1,1,1,1,0,0,7,20000,86399.0,171,764.4444444444445
1531005,1,1,1,1,0,0,7,20000,86399.0,263,728.8888888888889
1531006,1,1,1,1,0,0,7,20000,86399.0,354,0.0
1531007,1,1,1,1,0,0,7,20000,86399.0,364,0.0
1531008,1,1,1,1,0,0,9,10000,0.0,0,746.6666666666666
1531009,1,1,1,1,0,0,9,10000,0.0,79,746.6666666666666
1531010,1,1,1,1,0,0,9,10000,0.0,171,746.6666666666666
1531011,1,1,1,1,0,0,9,10000,0.0,263,1395.5555555555557
1531012,1,1,1,1,0,0,9,10000,0.0,354,1457.7777777777778
1531013,1,1,1,1,0,0,9,10000,0.0,364,746.6666666666666
1531014,1,1,1,1,0,0,9,10000,10800.0,0,746.6666666666666
1531015,1,1,1,1,0,0,9,10000,10800.0,79,746.6666666666666
1531016,1,1,1,1,0,0,9,10000,10800.0,171,746.6666666666666
1531017,1,1,1,1,0,0,9,10000,10800.0,263,1413.3333333333333
1531018,1,1,1,1,0,0,9,10000,10800.0,354,746.6666666666666
1531019,1,1,1,1,0,0,9,10000,10800.0,364,746.6666666666666
1531020,1,1,1,1,0,0,9,10000,21600.0,0,746.6666666666666
1531021,1,1,1,1,0,0,9,10000,21600.0,79,746.6666666666666
1531022,1,1,1,1,0,0,9,10000,21600.0,171,746.6666666666666
1531023,1,1,1,1,0,0,9,10000,21600.0,263,1377.7777777777778
1531024,1,1,1,1,0,0,9,10000,21600.0,354,1448.888888888889
1531025,1,1,1,1,0,0,9,10000,21600.0,364,746.6666666666666
1531026,1,1,1,1,0,0,9,10000,25200.0,0,1368.888888888889
1531027,1,1,1,1,0,0,9,10000,25200.0,79,1413.3333333333333
1531028,1,1,1,1,0,0,9,10000,25200.0,171,1386.6666666666667
1531029,1,1,1,1,0,0,9,10000,25200.0,263,746.6666666666666
1531030,1,1,1,1,0,0,9,10000,25200.0,354,1333.3333333333333
1531031,1,1,1,1,0,0,9,10000,25200.0,364,746.6666666666666
1531032,1,1,1,1,0,0,9,10000,27000.0,0,746.6666666666666
1531033,1,1,1,1,0,0,9,10000,27000.0,79,1360.0
1531034,1,1,1,1,0,0,9,10000,27000.0,171,1440.0
1531035,1,1,1,1,0,0,9,10000,27000.0,263,746.6666666666666
1531036,1,1,1,1,0,0,9,10000,27000.0,354,746.6666666666666
1531037,1,1,1,1,0,0,9,10000,27000.0,364,1342.2222222222222
1531038,1,1,1,1,0,0,9,10000,39600.0,0,746.6666666666666
1531039,1,1,1,1,0,0,9,10000,39600.0,79,1386.6666666666667
1531040,1,1,1,1,0,0,9,10000,39600.0,171,746.6666666666666
1531041,1,1,1,1,0,0,9,10000,39600.0,263,746.6666666666666
1531042,1,1,1,1,0,0,9,10000,39600.0,354,746.6666666666666
1531043,1,1,1,1,0,0,9,10000,39600.0,364,1217.7777777777778
1531044,1,1,1,1,0,0,9,10000,46800.0,0,1093.3333333333333
1531045,1,1,1,1,0,0,9,10000,46800.0,79,746.6666666666666
