,Ua,Cm,Ca,Hm,air_temp,mass_temp,OD_temp,HVAC_power,hour,date,hvac_average_power
1530901,1,1,1,1,0,0,7,15000,46800.0,79,853.3333333333334
1530902,1,1,1,1,0,0,7,15000,46800.0,171,853.3333333333334
1530903,1,1,1,1,0,0,7,15000,46800.0,263,866.6666666666666
1530904,1,1,1,1,0,0,7,15000,46800.0,354,0.0
1530905,1,1,1,1,0,0,7,15000,46800.0,364,853.3333333333334
1530906,1,1,1,1,0,0,7,15000,57600.0,0,853.3333333333334
1530907,1,1,1,1,0,0,7,15000,57600.0,79,866.6666666666666
1530908,1,1,1,1,0,0,7,15000,57600.0,171,0.0
1530909,1,1,1,1,0,0,7,15000,57600.0,263,0.0
1530910,1,1,1,1,0,0,7,15000,57600.0,354,853.3333333333334
1530911,1,1,1,1,0,0,7,15000,57600.0,364,0.0
1530912,1,1,1,1,0,0,7,15000,61200.0,0,0.0
1530913,1,1,1,1,0,0,7,15000,61200.0,79,853.3333333333334
1530914,1,1,1,1,0,0,7,15000,61200.0,171,0.0
1530915,1,1,1,1,0,0,7,15000,61200.0,263,853.3333333333334
1530916,1,1,1,1,0,0,7,15000,61200.0,354,853.3333333333334
1530917,1,1,1,1,0,0,7,15000,61200.0,364,0.0
1530918,1,1,1,1,0,0,7,15000,63000.0,0,853.3333333333334
1530919,1,1,1,1,0,0,7,15000,63000.0,79,840.0
1530920,1,1,1,1,0,0,7,15000,63000.0,171,0.0
1530921,1,1,1,1,0,0,7,15000,63000.0,263,0.0
1530922,1,1,1,1,0,0,7,15000,63000.0,354,0.0
1530923,1,1,1,1,0,0,7,15000,63000.0,364,853.3333333333334
1530924,1,1,1,1,0,0,7,15000,75600.0,0,853.3333333333334
1530925,1,1,1,1,0,0,7,15000,75600.0,79,866.6666666666666
1530926,1,1,1,1,0,0,7,15000,75600.0,171,866.6666666666666
1530927,1,1,1,1,0,0,7,15000,75600.0,263,853.3333333333334
1530928,1,1,1,1,0,0,7,15000,75600.0,354,0.0
1530929,1,1,1,1,0,0,7,15000,75600.0,364,0.0
1530930,1,1,1,1,0,0,7,15000,86399.0,0,0.0
1530931,1,1,1,1,0,0,7,15000,86399.0,79,840.0
1530932,1,1,1,1,0,0,7,15000,86399.0,171,853.3333333333334
1530933,1,1,1,1,0,0,7,15000,86399.0,263,0.0
1530934,1,1,1,1,0,0,7,15000,86399.0,354,0.0
1530935,1,1,1,1,0,0,7,15000,86399.0,364,0.0
1530936,1,1,1,1,0,0,7,20000,0.0,0,746.6666666666666
1530937,1,1,1,1,0,0,7,20000,0.0,79,0.0
1530938,1,1,1,1,0,0,7,20000,0.0,171,764.4444444444445
1530939,1,1,1,1,0,0,7,20000,0.0,263,746.6666666666666
1530940,1,1,1,1,0,0,7,20000,0.0,354,746.6666666666666
1530941,1,1,1,1,0,0,7,20000,0.0,364,746.6666666666666
1530942,1,1,1,1,0,0,7,20000,10800.0,0,746.6666666666666
1530943,1,1,1,1,0,0,7,20000,10800.0,79,0.0
1530944,1,1,1,1,0,0,7,20000,10800.0,171,0.0
1530945,1,1,1,1,0,0,7,20000,10800.0,263,0.0
1530946,1,1,1,1,0,0,7,20000,10800.0,354,0.0
1530947,1,1,1,1,0,0,7,20000,10800.0,364,0.0
1530948,1,1,1,1,0,0,7,20000,21600.0,0,0.0
1530949,1,1,1,1,0,0,7,20000,21600.0,79,0.0
1530950,1,1,1,1,0,0,7,20000,21600.0,171,0.0
1530951,1,1,1,1,0,0,7,20000,21600.0,263,746.6666666666666
1530952,1,1,1,1,0,0,7,20000,21600.0,354,942.2222222222222
1530953,1,1,1,1,0,0,7,20000,21600.0,364,906.6666666666666
1530954,1,1,1,1,0,0,7,20000,25200.0,0,746.6666666666666
1530955,1,1,1,1,0,0,7,20000,25200.0,79,942.2222222222222
1530956,1,1,1,1,0,0,7,20000,25200.0,171,0.0
1530957,1,1,1,1,0,0,7,20000,25200.0,263,0.0
1530958,1,1,1,1,0,0,7,20000,25200.0,354,0.0
1530959,1,1,1,1,0,0,7,20000,25200.0,364,0.0
